Mzvalue,row ID,RT,Sample.0,Sample.1,Sample.2,Sample.3,Sample.4,Sample.5,Sample.6,Sample.7,Sample.8,Sample.9,Sample.10,Sample.11,Sample.12,Sample.13,Sample.14,Sample.15,Sample.15a,Sample.16,Sample.17,Sample.18,Sample.19,Sample.20,Sample.21a,Blank.1,Blank.2,Blank.3,Blank.4,Blank.5
315.2231433,3880,12.6073297,35075.47266,20193.12109,31079.70508,40302.66797,17838.58594,33645.13281,21846.99609,29118.88477,38436.51172,35114.61719,9742.491211,32590.8125,27011.03711,22356.66602,28268.67188,30598.63477,31568.08984,25459.66992,20028.77539,17017.6875,35869.16016,15867.87891,16177.37793,42409.05469,37892.6875,33260.31641,32030.98047,19484.23047
4.073153539,575,1.380831756,31308.47852,500,32829.25,500,2948.894775,4329.408203,3368.563232,7898.636719,12843.42969,9842.501953,19647.00195,89521.72656,39539.69531,35534.01953,43174.73828,500,501,14148.53418,25441.9668,10885.16504,12815.67676,7938.250488,500,500,501,500,501,500
1.197054896,4003,1.993921022,20773.75977,2581.123535,12350.55957,24820.4375,1807.195068,15188.56055,3920.9104,3933.100098,35473.50781,20376.89453,851.3076782,31244.24609,32415.40625,10578.98145,28521.4707,10319.625,22484.9375,1794.446045,656.111084,810.5610352,21882.29102,483.1212158,487.3214417,47964.80078,28026.29492,7149.655762,16253.0918,2326.707031
331.0584835,3990,14.21094924,20813.07422,3392.893066,15441.68359,26374.34375,2390.263916,16648.16992,6064.132324,4882.104004,36869.03906,21517.25,976.1167603,30885.25781,33470.71875,10947.65918,29025.34375,12389.00684,25268.98047,1878.400024,1143.160767,974.4694214,24232.35742,594.9152222,765.2077637,47586.90625,29609.47266,9343.058594,19681.76563,3435.048584
614.8453513,3930,3.416427561,22339.62109,9237.019531,25543.82813,32366.06055,5805.996094,25048.09766,12029.82031,15296.40234,38779.4375,26373.33984,1717.200317,33901.94531,36763.80469,21147.06055,32583.89063,24763.86328,21577.01563,9611.254883,2609.984863,2351.110107,27589.02148,914.0612793,1120.224976,51997.77344,39086.15625,25915.00586,35213.70313,11375.48926
280.3822474,3983,2.673700291,20873.41406,4358.481445,16818.52734,27317.83984,3820.462402,17474.95898,6942.432617,5994.866699,37205.39453,20769.42969,1122.577637,30928.74414,34601.34766,12059.76172,28794.78516,15560.67871,21842.41992,2221.453125,1276.283447,1142.015747,23697.72656,502,674.3856201,48741.21875,30600.62891,11704.87598,22352.03711,5433.171387
404.2135166,4000,9.173980496,20399.68555,2880.797607,12451.73438,24975.68359,1913.053711,16722.68555,5340.421875,4373.994629,38889.45703,20916.91797,500,28164.03125,31360.31445,9506.942383,29777.73242,11705.11621,23973.31055,1837.078369,928.3309326,941.5068359,23104.28125,502,500,49353.64453,28743.35156,8891.643555,17145.69141,2641.94873
282.5968352,3972,5.428376533,20689.35742,5638.196777,15607.91406,27500.71094,3946.685547,21486.08398,7895.983398,6244.125,34097.57422,22515.08984,1228.65979,29425.39258,31651.76367,14124.25488,28515.49414,16124.11133,21396.67969,2518.154297,1352.594971,1213.178101,24072.10742,502,854.0018311,49223.91797,33210,14364.07031,25111.91992,6535.945801
110.1545841,3919,6.456086022,23344.56836,14292.87988,26496.8418,36446.27734,10324.9873,27942.99414,18210.69727,21191.50391,38554.14453,26160.16992,3175.837646,31900.93359,35625.34375,23298.58594,33247.83984,27065.41992,22500.11914,10827.83008,5321.23291,4843.600098,27854.5332,2040.490234,2673.787354,51801.58984,42010.89063,35326.35547,40143.55469,18134.15039
226.0727954,2474,14.62788958,28780.25586,12823.25488,23505.47461,33154.96875,11170.47461,28167.82617,13847.02246,21023.06445,34491.21094,29303.81445,5948.189453,24739.07422,25511.89453,17479.00977,23810.15234,17034.7207,21434.85938,18955.59766,11961.09766,9675.422852,28768.67969,7910.696777,8464.25,39676.77344,32207.58789,25456.56641,25566.66602,12566.1123
